Datil; €€€€; Modern Cuisine; 48.8636109, 2.3573253; 13 rue des Gravilliers, Paris, 75003, France; http://www.datil-restaurant.fr
Dessance; €€€; Modern Cuisine; 48.8622711, 2.3595454; 74 rue des Archives, Paris, 75003, France; https://www.dessance.com/
L'Apibo; €€; Modern Cuisine; 48.8647204, 2.3474424; 31 rue Tiquetonne, Paris, 75002, France; http://www.restaurant-lapibo.fr
Halle aux Grains; €€€; Modern Cuisine; N/A, N/A; Bourse de Commerce, 2 rue de Viarmes, Paris, 75001, France; https://www.halleauxgrains.bras.fr
Cucina Mutualité; €€; Italian; 48.8485823, 2.3507881; 20 rue Saint-Victor, Paris, 75005, France; https://www.cucina-mutualite.com/
Kodawari Ramen - Yokochō; €€; Japanese; 48.8546421, 2.3380705; 29 rue Mazarine, Paris, 75006, France; https://www.kodawari-ramen.com/
Boutary; €€€€; Creative; 48.8548708, 2.3379816; 25 rue Mazarine, Paris, 75006, France; https://www.boutary-restaurant.com/
À l’Épi d’Or; €€; Traditional Cuisine; 48.8628428, 2.3410804; 25 rue Jean-Jacques-Rousseau, Paris, 75001, France; https://jeanfrançoispiege.com/a-lepi-dor
Sétopa; €€; rean, Modern Cuisine; 48.8517002, 2.3394669; 6 rue Dupuytren, Paris, 75006, France; NONE
L'Ambroisie; €€€€; Classic Cuisine; 48.8552833, 2.3643585; 9 place des Vosges, Paris, 75004, France; https://www.ambroisie-paris.com/
Tekés; €€; aeli, Middle Eastern; 48.8658949, 2.3496513; 4 bis rue Saint-Sauveur, Paris, 75002, France; https://www.tekesrestaurant.com
Les Enfants Rouges; €€€; Farm to table; 48.8629413, 2.3612184; 9 rue de Beauce, Paris, 75003, France; https://les-enfants-rouges-paris.fr/fr
Shabour; €€€€; Creative; 48.8659291, 2.3490752; 19 rue Saint-Sauveur, Paris, 75002, France; http://www.restaurantshabour.com
Ogata; €€€€; Japanese; 48.8610348, 2.3634955; 16 rue Debelleyme, Paris, 75003, France; http://www.ogata.com/paris/restaurant
Halo Paris; €€€; Modern Cuisine; 48.8660178, 2.3488601; 12 rue Saint-Sauveur, Paris, 75002, France; http://www.halo-paris.com
Kitchen by Madame Rêve; €€; Modern Cuisine; 48.8645507, 2.3429568; 48 rue du Louvre, Paris, 75001, France; https://madamereve.com/restaurants/kitchen/
Le Comptoir du Relais; €€; Traditional Cuisine; 48.85193195, 2.33856955; 5 carrefour de l'Odéon, Paris, 75006, France; https://www.hotel-paris-relais-saint-germain.com/restaurant-le-comptoir
Kei; €€€€; rn Cuisine, Creative; N/A, N/A; 5 rue du Coq-Héron, Paris, 75001, France; https://www.restaurant-kei.fr/
Soé; €€; Creative; 48.8532218, 2.3640295; 18 rue Beautreillis, Paris, 75004, France; https://www.soe-restaurant.fr/
Yoshinori; €€€€; Modern Cuisine; 48.8529964, 2.3377928; 18 rue Grégoire-de-Tours, Paris, 75006, France; https://www.yoshinori-paris.com/
Semilla; €€€; Modern Cuisine; 48.854192, 2.3368747; 54 rue de Seine, Paris, 75006, France; https://www.semillaparis.com/
Ciasa Mia; €€€; Italian Contemporary; 48.8474156, 2.3470448; 19 rue Laplace, Paris, 75005, France; https://www.ciasamia.com/
La Table de Colette; €€€; Modern Cuisine; 48.847328, 2.3471786; 17 rue Laplace, Paris, 75005, France; https://www.latabledecolette.fr/
Anne; €€€€; Modern Cuisine; 48.8562363, 2.3660257; 28 place des Vosges, Paris, 75003, France; https://www.pavillon-de-la-reine.com/restaurant-bar
Campelli; €€; Creative; 48.864285, 2.3403064; 36 rue Croix-des-Petits-Champs, Paris, 75001, France; https://campelli.paris/
Omar Dhiab; €€€€; Modern Cuisine; 48.8651457, 2.3419429; 23 rue Hérold, Paris, 75001, France; http://www.omardhiab.com
Sagan; €€; Japanese; 48.8503881, 2.3391603; 8 rue Casimir-Delavigne, Paris, 75006, France; https://www.saganparis.fr/
Capitaine; €€€; Farm to table; 48.8540797, 2.3659063; 4 impasse Guéménée, Paris, 75004, France; https://www.restaurantcapitaine.fr/
Bistrot Instinct; €€; Modern Cuisine; 48.8636998, 2.3626132; 19 rue de Picardie, Paris, 75003, France; https://instinct-paris.com/
Café Compagnon; €€; Modern Cuisine; 48.866596638549346, 2.34572128120748; 22-26 rue Léopold-Bellan, Paris, 75002, France; https://cafecompagnon.com
La Méditerranée; €€; Seafood; 48.8500778, 2.3385143; 2 place de l'Odéon, Paris, 75006, France; https://www.la-mediterranee.com/
Ilô; €€€; Modern Cuisine; 48.8527565, 2.3662448; 6 rue Castex, Paris, 75004, France; https://ilo-restaurant.eatbu.com
L'Altro Frenchie; €€€; lian, Modern Cuisine; 48.8676586, 2.3476093; 9 rue du Nil, Paris, 75002, France; http://www.altro-frenchie.com
Frenchie; €€€€; Modern Cuisine; 48.8677443, 2.347922; 5 rue du Nil, Paris, 75002, France; http://www.frenchie-restaurant.com
Brasserie du Louvre - Bocuse; €€€; l Cuisine, Lyonnaise; 48.86361806452428, 2.3353281812755182; Place André-Malraux, Paris, 75001, France; https://www.maisons-bocuse.com/nos-brasseries/brasserie-louvre-paris-1-terrasse/
Guefen; €€€€; Modern Cuisine; 48.8668208, 2.3587112; 9 rue du Vertbois, Paris, 75003, France; http://www.guefen.fr
Restaurant H; €€€; Creative; 48.8544888, 2.3679571; 13 rue Jean-Beausire, Paris, 75004, France; https://www.restauranth.com/
Istr; €€; Modern Cuisine; 48.8675028, 2.3576032; 41 rue Notre-Dame-de-Nazareth, Paris, 75003, France; https://www.istr.paris/
Korus; €€€; Modern Cuisine; 48.8592436, 2.3681854; 73 rue Amelot, Paris, 75011, France; https://restaurantkorus.com/
La Table de Mee; €€; Korean; 48.8529709, 2.333976; 6 rue des Ciseaux, Paris, 75006, France; NONE
Qui Plume la Lune; €€€€; Modern Cuisine; 48.8590678, 2.3683962; 50 rue Amelot, Paris, 75011, France; http://www.quiplumelalune.fr
Mắm From Hanoï; €; Vietnamese; 48.8686763, 2.3483565; 39 rue de Cléry, Paris, 75002, France; https://mamfromhanoi.com
Elmer; €€€; Modern Cuisine; 48.8673431, 2.3594074; 30 rue Notre-Dame-de-Nazareth, Paris, 75003, France; https://www.elmer-restaurant.fr/
Palais Royal Restaurant; €€€€; tive, Modern Cuisine; 48.8657551, 2.3389372; 110 Galerie de Valois, Paris, 75001, France; https://palaisroyalrestaurantparis.com/
Fleur de Pavé; €€€; tive, Modern Cuisine; 48.8677178, 2.3433324; 5 rue Paul-Lelong, Paris, 75002, France; https://www.fleurdepave.com/
Otto; €€; Modern Cuisine; 48.844859, 2.349257; 5 rue Mouffetard, Paris, 75005, France; http://www.otto-paris.com
Yen; €€€; Japanese; 48.854472, 2.3327768; 22 rue Saint-Benoît, Paris, 75006, France; https://www.yen-paris.fr/
L’Oyat; €€; Modern Cuisine; 48.8670477, 2.3605441; 11 rue Notre-Dame-de-Nazareth, Paris, 75003, France; https://restaurantloyat.fr/
Emporio Armani Caffè; €€€; Italian; 48.8537199, 2.3326717; 149 boulevard Saint-Germain, Paris, 75006, France; http://www.armani.com/fr-fr/experience/armani-restaurant
Tracé; €€€€; Creative; 48.8642413, 2.3360363; 15 rue de Richelieu, Paris, 75001, France; NONE
Armani Ristorante; €€€€; Italian; 48.8536548, 2.3328389; 7 place du Québec, Paris, 75006, France; https://www.armani.com/fr-fr/experience/armani-restaurant
Le Bon Saint-Pourçain; €€€; Modern Cuisine; 48.84990086470998, 2.3347473249566684; 10 bis rue Servandoni, Paris, 75006, France; https://www.bonsaintpourcain.com
Liza; €€; Lebanese; 48.8675614, 2.340834; 14 rue de la Banque, Paris, 75002, France; https://www.restaurant-liza.com/
Biondi; €€€; Argentinian; 48.8638211, 2.3670738; 118 rue Amelot, Paris, 75011, France; https://www.biondi-restaurant.fr/
Nhome; €€€€; Creative; 48.8660483, 2.3373691; 41 rue de Montpensier, Paris, 75001, France; https://www.nhomeparis.com/
Ambos; €€€; Modern Cuisine; 48.8492457, 2.3351893; 38 rue de Vaugirard, Paris, 75006, France; https://www.ambos-restaurant.fr/
Zen; €€; Japanese; 48.8641002, 2.3346064; 8 rue de l'Échelle, Paris, 75001, France; https://www.zenrestaurantparis.fr
Loulou; €€€; Italian; 48.863223, 2.3333217; 107 rue Rivoli, Paris, 75001, France; https://www.loulou-paris.com/
La Bourse et la Vie; €€; Traditional Cuisine; 48.8676307, 2.3394491; 12 rue Vivienne, Paris, 75002, France; https://www.labourselavie.com/
Charbon Kunitoraya; €€€€; Yakitori, Japanese; 48.8661795, 2.3363355; 5 rue Villedo, Paris, 75001, France; https://kunitoraya.com/
Taokan; €€; Chinese; 48.8526679, 2.3314776; 8 rue du Sabot, Paris, 75006, France; https://www.taokan.fr/
Les Parisiens; €€€; Traditional Cuisine; 48.8566633, 2.3303564; 1 rue du Pré-aux-Clercs, Paris, 75007, France; https://pavillon-faubourg-saint-germain.com/restaurant-les-parisiens
Pantagruel; €€€€; Modern Cuisine; 48.8696824, 2.346187; 24 rue du Sentier, Paris, 75002, France; http://www.restaurant-pantagruel.com
Baillotte; €€€; Modern Cuisine; 48.8534766, 2.3309867; 16 rue du Dragon, Paris, 75006, France; https://www.restaurantbaillotte.fr/
Clover Saint-Germain; €€€; Modern Cuisine; 48.8552376, 2.3303615; 5 rue Perronet, Paris, 75007, France; https://jeanfrançoispiege.com/cloversaintgermain
Magma; €€€; Modern Cuisine; 48.8650949, 2.3671344; 9 rue Jean-Pierre-Timbaud, Paris, 75011, France; http://www.restaurantmagma.com
Nodaïwa; €€; Japanese; 48.8643669, 2.3332403; 272 rue Saint-Honoré, Paris, 75001, France; https://www.nodaiwa.com/
Jòia par Hélène Darroze; €€€; om South West France; 48.8697445, 2.343507; 39 rue des Jeûneurs, Paris, 75002, France; https://www.joiahelenedarroze.com/
Sushi B; €€€€; Japanese; 48.8677331, 2.3374425; 5 rue Rameau, Paris, 75002, France; http://www.sushi-b-fr.com
Aux Prés; €€€; Modern Cuisine; 48.8527577, 2.3304479; 27 rue du Dragon, Paris, 75006, France; https://restaurantauxpres.com/
Qasti Green; €€; Lebanese, Vegetarian; 48.8697823, 2.343329; 41 rue des Jeûneurs, Paris, 75002, France; http://www.qasti.fr
Nolinski; €€€; Traditional Cuisine; 48.8654554, 2.3347522; 16 avenue de l'Opéra, Paris, 75001, France; https://nolinskiparis.com/
Mori Venice Bar; €€€€; Italian; 48.8690966, 2.3401069; 27 rue Vivienne, Paris, 75002, France; https://www.mori-venicebar.com/
Eclipses; €€€€; Modern Cuisine; 48.858307424476834, 2.329549153860883; 27-29 rue de Beaune, Paris, 75007, France; https://eclipses.fr/
Le Saint-Sébastien; €€€; Modern Cuisine; 48.861567, 2.3710293; 42 rue Saint-Sébastien, Paris, 75011, France; https://www.lesaintsebastien.paris/
Habile.; €€; Modern Cuisine; 48.8696591, 2.3606541; 16 rue de Lancry, Paris, 75010, France; https://habile.com/
Amarante; €€€; Traditional Cuisine; 48.8496164, 2.3700111; 4 rue Biscornet, Paris, 75012, France; https://www.amarante.paris/
Restaurant des Grands Boulevards; €€; lian, Modern Cuisine; 48.8710173, 2.3449353; 17 boulevard Poissonnière, Paris, 75002, France; https://www.grandsboulevardshotel.com/
Les Résistants; €€; Modern Cuisine; 48.8723020587229, 2.3558279395175417; 16 rue du Château-d'Eau, Paris, 75010, France; https://www.lesresistants.fr/
Accents Table Bourse; €€€€; Modern Cuisine; 48.8699222, 2.3402797; 24 rue Feydeau, Paris, 75002, France; https://accents-restaurant.com
Flocon; €€; Farm to table; 48.8421318, 2.349813; 75 rue Mouffetard, Paris, 75005, France; https://www.restaurantflocon.com/
Bon Kushikatsu; €€€; Japanese; 48.8654609, 2.3690645; 24 rue Jean-Pierre-Timbaud, Paris, 75011, France; https://www.kushikatsubon.fr/
Akabeko; €€€€; Fusion; 48.8576151, 2.328373; 40 rue de l'Université, Paris, 75007, France; http://www.akabekorestaurant.com
Pouliche; €€; Modern Cuisine; 48.8717306, 2.3523293; 11 rue d'Enghien, Paris, 75010, France; https://www.poulicheparis.com/
19 Saint Roch; €€€; Creative; 48.865433, 2.332226; 19 rue Saint-Roch, Paris, 75001, France; https://www.19saint-roch.com
L'Atelier de Joël Robuchon - St-Germain; €€€€; Modern Cuisine; 48.8567026, 2.3277198; 5 rue de Montalembert, Paris, 75007, France; http://www.atelier-robuchon-saint-germain.com
Caffè Stern; €€€€; Italian; 48.8708712, 2.341577; 47 passage des Panoramas, Paris, 75002, France; https://alajmo.it/fr/pages/homepage-caffe-stern
52 Faubourg St-Denis; €€; Modern Cuisine; 48.8720905, 2.3540414; 52 rue du Faubourg-Saint-Denis, Paris, 75010, France; https://www.faubourgstdenis.com/
Racines; €€; Italian; 48.8712485, 2.3417667; 8 passage des Panoramas, Paris, 75002, France; https://racinesparis.com
Géosmine; €€€€; tive, Modern Cuisine; 48.8655245, 2.3705597; 71 rue de la Folie-Méricourt, Paris, 75011, France; http://www.geosmine.com
FIEF; €€€€; rn Cuisine, Creative; 48.8636377, 2.3724431; 44 rue de la Folie-Méricourt, Paris, 75011, France; https://www.fiefrestaurant.fr/
Racines des Prés; €€€; Modern Cuisine; 48.8561441, 2.3269901; 1 rue de Gribeauval, Paris, 75007, France; https://www.racinesdespres.com/
Le Quincy; €€€; Traditional Cuisine; 48.8470233, 2.370108; 28 avenue Ledru-Rollin, Paris, 75012, France; NONE
Passionné; €€€; Modern Cuisine; 48.872286, 2.345589; 17 rue Bergère, Paris, 75009, France; http://www.restaurantpassionne.com
Piero TT; €€€€; Italian; 48.8566218, 2.3266823; 44 rue du Bac, Paris, 75007, France; http://www.restaurantpiero.com
Aux Lyonnais; €€; Lyonnaise; 48.870714, 2.3386957; 32 rue Saint-Marc, Paris, 75002, France; https://www.auxlyonnais.com/
À La Biche au Bois; €€; Traditional Cuisine; 48.847968, 2.3710745; 45 avenue Ledru-Rollin, Paris, 75012, France; https://alabicheaubois.fr/
Drouant; €€€; ine, Classic Cuisine; 48.869001850000004, 2.3343040689353867; 16-18 place Gaillon, Paris, 75002, France; https://drouant.com/
Auberge Pyrénées Cévennes; €€; Traditional Cuisine; 48.8678867, 2.3689829; 106 rue de la Folie-Méricourt, Paris, 75011, France; https://www.auberge-pyrenees-cevennes.fr/
Pierre Sang on Gambey; €€; tive, Modern Cuisine; 48.8649782, 2.3721302; 6 rue Gambey, Paris, 75011, France; https://pierresang.com/
Pierre Sang in Oberkampf; €€; tive, Modern Cuisine; 48.8647, 2.3723457; 55 rue Oberkampf, Paris, 75011, France; https://pierresang.com/in-oberkampf/
Kapara; €€€; editerranean Cuisine; 48.865436, 2.3298035; 9 rue d'Alger, Paris, 75001, France; https://kaparaparis.com
Mavrommatis; €€€€; editerranean Cuisine; 48.8405466, 2.3512744; 42 rue Daubenton, Paris, 75005, France; https://www.mavrommatis.com/
Le Villaret; €€€; Traditional Cuisine; 48.8643547, 2.3728587; 13 rue Ternaux, Paris, 75011, France; https://www.levillaret-restaurant.fr/
Eels; €€€; Modern Cuisine; 48.8732299, 2.3502848; 27 rue d'Hauteville, Paris, 75010, France; https://www.restaurant-eels.com/
Bistro S; €€€; Modern Cuisine; 48.850833, 2.3742541; 7 rue Saint-Nicolas, Paris, 75012, France; https://www.bistros.fr/
Marsan par Hélène Darroze; €€€€; Modern Cuisine; 48.8500436, 2.3278425; 4 rue d'Assas, Paris, 75006, France; https://www.marsanhelenedarroze.com/
Les Délices d'Aphrodite; €€; Greek; 48.8401766, 2.3510816; 4 rue de Candolle, Paris, 75005, France; https://www.mavrommatis.com/les-delices-daphrodite/
Brasserie Lutetia; €€€; Seafood; 48.850915, 2.3272149; 45 boulevard Raspail, Paris, 75006, France; https://www.hotellutetia.com/fr/gastronomie-paris/brasserie/
Dersou; €€€; Creative; 48.8514084, 2.3746412; 21 rue Saint-Nicolas, Paris, 75012, France; https://www.dersouparis.com/
Sushi Yoshinaga; €€€€; Japanese; 48.8697547, 2.3351301; 27 rue du 4-Septembre, Paris, 75002, France; http://www.sushiyoshinaga.com
Brigade du Tigre; €€; Asian; 48.873527, 2.3479885; 38 rue du Faubourg-Poissonnière, Paris, 75010, France; https://www.brigadedutigre.fr/
Solstice; €€€€; Modern Cuisine; 48.8402071, 2.3458479; 45 rue Claude-Bernard, Paris, 75005, France; http://www.solsticeparis.com
Vantre; €€€; Modern Cuisine; 48.8685045, 2.3701736; 19 rue de la Fontaine-au-Roi, Paris, 75011, France; https://www.vantre.fr/
TO; €€€; Modern Cuisine; 48.8714949, 2.3644501; 34 rue Beaurepaire, Paris, 75010, France; https://to-restaurant.com/
Restaurant Le Dalí; €€€€; Modern Cuisine; 48.8652754, 2.3282212; Le Meurice, 228 rue de Rivoli, Paris, 75001, France; https://www.dorchestercollection.com/fr/paris/le-meurice
Restaurant Le Meurice Alain Ducasse; €€€€; Creative; 48.8652754, 2.3282212; Le Meurice, 228 rue de Rivoli, Paris, 75001, France; https://www.alainducasse-meurice.com
Richer; €€; Modern Cuisine; 48.8740728, 2.3476885; 2 rue Richer, Paris, 75009, France; https://www.lericher.com/
Les Botanistes; €€; Traditional Cuisine; 48.852086820858766, 2.325506937895506; 11 bis rue Chomel, Paris, 75007, France; https://www.lesbotanistes.com/
Passerini; €€; Italian; 48.8494462, 2.3748652; 65 rue Traversière, Paris, 75012, France; https://www.passerini.paris/
Quelque Part; €€€; Creative; 48.8742063, 2.3472367; 1 rue Ambroise-Thomas, Paris, 75009, France; https://lesabysses.quelquepart.net/
Gaya par Pierre Gagnaire; €€€; ern Cuisine, Seafood; 48.8565429, 2.3241172; 6 rue de Saint-Simon, Paris, 75007, France; http://www.restaurantgaya.com
Calice; €€€; Modern Cuisine; 48.8389989, 2.3504935; 5 rue de Bazeilles, Paris, 75005, France; http://www.calicerestaurant.fr
Amâlia; €€€€; Modern Cuisine; 48.8681454, 2.3717299; 32 rue de la Fontaine-au-Roi, Paris, 75011, France; http://www.amaliarestaurant.com
Les Résistants - La Table; €€; Modern Cuisine; 48.8744011, 2.3559971; 7 rue de la Fidélité, Paris, 75010, France; http://www.lesresistants-latable.fr
Pur' - Jean-François Rouquette; €€€€; Modern Cuisine; N/A, N/A; Park Hyatt Paris-Vendôme, 5 rue de la Paix, Paris, 75002, France; https://www.paris-restaurant-pur.fr
Baca'v par Gilles Choukroun; €€; Traditional Cuisine; 48.8391336, 2.3560625; 6 rue des Fossés-Saint-Marcel, Paris, 75005, France; https://www.bacav.paris/
Dante; €€; Modern Cuisine; 48.8747154, 2.3539324; 14 rue de Paradis, Paris, 75010, France; https://www.danterestaurant.info
Espadon; €€€€; Creative; N/A, N/A; Ritz Paris, 15 place Vendôme, Paris, 75001, France; https://sites.ritzparis.com/espadon/
Godaille; €€; Modern Cuisine; 48.8507331, 2.376852; 9 rue Antoine-Vollon, Paris, 75012, France; http://www.restaurantgodaille.fr
L'Ardoise; €€; Traditional Cuisine; 48.8662796, 2.3269751; 28 rue du Mont-Thabor, Paris, 75001, France; https://lardoise-paris.com/
Abri Soba; €€; Japanese; 48.8749507, 2.3444377; 10 rue Saulnier, Paris, 75009, France; NONE
Bonhomme; €€; Modern Cuisine; 48.8751302, 2.3481901; 58 rue du Faubourg-Poissonnière, Paris, 75010, France; https://bonhomme-resto.fr
Table - Bruno Verjus; €€€€; Modern Cuisine; 48.8487639, 2.3758751; 3 rue de Prague, Paris, 75012, France; http://www.table.paris
Le Chateaubriand; €€€; Modern Cuisine; 48.8693522, 2.3713516; 129 avenue Parmentier, Paris, 75011, France; http://www.lechateaubriand.net
L'Agrume; €€; Modern Cuisine; 48.838775, 2.3561596; 15 rue des Fossés-Saint-Marcel, Paris, 75005, France; https://restaurant-lagrume.fr/fr
Erso; €€; Modern Cuisine; 48.8624327, 2.3780958; 18 rue Saint-Ambroise, Paris, 75011, France; http://www.erso-restaurant.fr
Eunoé; €€; Modern Cuisine; 48.860825, 2.3789136; 6 rue Rochebrune, Paris, 75011, France; http://www.eunoe-restaurant.com
Chocho; €€€; tive, Modern Cuisine; 48.8756802, 2.3492156; 54 rue de Paradis, Paris, 75010, France; https://chocho.becsparisiens.fr/
Deux Bistrot de chefs; €€; Modern Cuisine; 48.8681239, 2.3739291; 58 rue de la Fontaine-au-Roi, Paris, 75011, France; http://www.deux-restaurant.fr
Quinsou; €€€€; Creative; 48.8476463, 2.3254887; 33 rue de l'Abbé-Grégoire, Paris, 75006, France; https://www.quinsourestaurant.fr/
Le Cotte Rôti; €€; Modern Cuisine; 48.8482078, 2.3767212; 1 rue de Cotte, Paris, 75012, France; https://lecotteroti.fr/
Sellae; €€; Modern Cuisine; 48.8387321, 2.3596622; 18 rue des Wallons, Paris, 75013, France; https://sellae-restaurant.com/
Pianovins; €€; isine, Farm to table; 48.8524065, 2.3791967; 46 rue Trousseau, Paris, 75011, France; http://www.pianovins.fr
Virtus; €€€€; Modern Cuisine; 48.8502429, 2.378162; 29 rue de Cotte, Paris, 75012, France; https://www.virtus-paris.com
